Stock,Median.LTAvg,SIQR.LTAvg,Median.Curr,SIQR.Curr,Median.CurrLS,SIQR.CurrLS,Median.CurrLS2,SIQR.CurrLS2,Median.CurrLS3,SIQR.CurrLS3,Median.PercChange,SIQR.PercChange,Median.PercChange2,SIQR.PercChange2,Median.PercChange3,SIQR.PercChange3
Babine Mid Wild,1.4299975981535975,0.2104236225570131,1.2629966607351955,0.34992043313458737,1.2653024605754122,0.33664941009125965,1.2967794963507242,0.31513929531651835,1.3219368724751235,0.3116069238478202,-11.678406847258515,66.2933224333111,2.487708414081282,-6.389470508476544,4.475958410288406,-7.438743539354753
Damdochax,1.771893102597045,0.14685316616809752,1.5983313397691417,0.20811565215343583,1.6141548872465916,0.2165008904969391,1.7026210091969918,0.2318034759144107,1.7358796820147073,0.2271376872597006,-9.795272783302543,41.71683020794619,5.480646414378779,7.068139711733861,7.541085166600869,4.913049890162868
Fulton,1.665301679938299,0.25340057819506945,1.564071207591538,0.43856211670427553,1.5660160058314725,0.4208423479473874,1.5710833812040845,0.41581577952445714,1.5908779607391181,0.40857274784628833,-6.0788068351982725,73.07068509001881,0.32358388124657295,-1.1944065152774652,1.587592643693654,-2.915486086640924
Lakelse,1.0115457036839124,0.2579139653863363,0.9743301432549837,0.6143783613660259,0.9621241129762239,0.6490207279745958,1.3233720513819636,0.5614346843593013,1.070364004005845,0.905074527885931,-3.679078492785316,138.21058330274278,37.5469166122715,-13.495107296283882,11.250096486491032,39.452330083571354
Lower Nass Sea & River Type,1.1214352458706751,0.31469987635857155,1.086710846168643,0.7479557013068463,1.0811381873980659,0.7814760627724747,1.2985481551001086,0.5928986247213304,1.4890524311464235,0.5382714910485529,-3.096424856441204,137.672702627509,20.109359768826128,-24.130929536359748,37.73007451804744,-31.121179945179
Kitsumkalum,1.6536398229518183,0.1321994420607774,1.6243041663995332,0.25365941427159033,1.6209815627112465,0.25160826286126065,1.697933443057073,0.2050604018816697,1.6504007910721827,0.22601135403665987,-1.7740052062800282,91.87631227291631,4.747239704387328,-18.50013209035901,1.8149020962169229,-10.173318051448563
Motase,1.314318475970289,0.3670546323659122,1.3130712012008803,0.3569219930627697,1.3133513613778722,0.3543779331071641,1.3127141808869938,0.3670688733194257,1.3137000750676457,0.3592853254984081,-0.09489897556891491,-2.7605262022797064,-0.048515615060541056,3.5811880556411193,0.026551439319914487,1.384790624014389
Sustut,2.3524821379635967,0.1577386362020758,2.352143555231272,0.16571042612634326,2.350581306420442,0.15929358135685945,2.359388657437354,0.16051145063980102,2.353530772257086,0.16283392491541812,-0.014392573990715992,5.053796657690748,0.3746882097996505,0.7645438520295569,0.125478145707522,2.222527441722447
Mcdonell,1.6347930926205432,0.14029709291887424,1.6408971791933724,0.1395030022961705,1.6413196963242591,0.13147706917911275,1.632414736402626,0.13806777194690462,1.6380201564105303,0.13467465874739573,0.37338587986351834,-0.5660064696870976,-0.5425487759377884,5.0128153973475555,-0.20102969099305318,2.43205114644506
Morice,1.7195500714419987,0.16354729793956885,1.733259149749494,0.2601500799528013,1.5977501786226478,0.16883292186757948,1.4740970058271339,0.4621510021390488,1.625594004536599,0.4272732445266429,0.7972479856895963,59.06718315146207,-7.739205693728042,173.73275130636378,1.7426895822946653,153.0746016832935
Asitka,0.9917778396040169,0.48639350692392574,1.0122297081272367,0.47044698217220055,0.9958004186182627,0.47576804865080036,0.9961707014096103,0.4769133940219201,1.0048082547265396,0.4943419018293009,2.0621421155553867,-3.278523361172112,0.037184438209147755,0.24073608439401853,0.9045824785629009,3.9039723729184637
Alastair,1.4085092636370435,0.1933637600493995,1.5496543191817425,0.5802920380091848,1.5617270227867224,0.5762813444492654,1.817201916374239,0.4049572136207185,1.706143600866421,0.4080971812203958,10.02088230362327,200.10382393315842,16.358485821142484,-29.72925160231868,9.247235654666708,-29.1843844762315
Bear,2.035608247380493,0.12728999908214336,2.2766693676682923,0.17817310716630289,2.2662029374747483,0.1782870044881828,2.228176938443619,0.1669668046800569,2.1381017253640184,0.19072126609840262,11.842215740578137,39.974160146959704,-1.6779608923065763,-6.349425097260091,-5.652680525314044,6.974294983482089
Slamgeesh,1.4163104756921419,0.25194030696997577,1.7711313105972981,0.2883235439146129,1.7723430202239085,0.28610246642746395,1.7723189465396767,0.28838883973696555,1.7723430202239085,0.2866163783159018,25.052475498478366,14.441213231105968,-0.0013582971217845766,0.7991449140761837,0,0.17962511643294407
Johnston,1.2883257993300603,0.25359901191538536,1.6473898673460032,0.3257951111152441,1.6480607607232276,0.3278846247477055,1.6473898673460032,0.3354909853911742,1.6480607607232276,0.3229521325147505,27.870595171086315,28.46860429564582,-0.040708048708711246,2.3198283997981,0,-1.5043377641602926
