Aggregate,Scenario,BM,Label,Mean,Median,p10,p25,p75,p90,Stock
Nass,Now,Sgen.c,Meziadin,37261,36534,25796,31047,43243,49323,Meziadin
Nass,Now,Sgen.c,LNassSRT,14231,12070,2378,5315,21714,30048,Lower Nass Sea & River Type
Nass,Now,Sgen.c,Kwinag,2807,2211,901,1335,3943,5904,Kwinageese
Nass,Now,Sgen.c,Damdoch,729,707,503,591,840,975,Damdochax
Nass,Now,Sgen.c,Bowser,NA,NA,NA,NA,NA,NA,Bowser
Nass,Now,Sgen.c,Oweege,NA,NA,NA,NA,NA,NA,Oweegee
Nass,Now,Sgen.c,UNassRT,NA,NA,NA,NA,NA,NA,Upper Nass River Type
SkeenaWild,LTAvg,Smsy,Agg Fit,344583,300112,223324,249412,388979,546638,NA
SkeenaWild,LTAvg,Smsy,Sum,402369,389811,NA,NA,NA,NA,NA
SkeenaWild,LTAvg,Smsy,Sum-Agg,57786,89699,NA,NA,NA,NA,NA
SkeenaWild,LTAvg,Smsy,Bab-LW,251751,245179,177650,206592,290610,336510,Babine Late Wild
SkeenaWild,LTAvg,Smsy,Bab-EW,45408,42938,34412,38055,49877,60072,Babine Early Wild
SkeenaWild,LTAvg,Smsy,SwanSteph,21193,20934,14550,17492,24439,28327,Swan/Stephens
SkeenaWild,LTAvg,Smsy,Bab-MW,17796,17246,14477,15726,19113,21881,Babine Mid Wild
SkeenaWild,LTAvg,Smsy,Kitsumk,14739,14624,13128,13767,15581,16499,Kitsumkalum
SkeenaWild,LTAvg,Smsy,Alastair,11722,11559,10135,10817,12537,13465,Alastair
SkeenaWild,LTAvg,Smsy,Morice,10598,10398,8875,9580,11383,12699,Morice
SkeenaWild,LTAvg,Smsy,Lakelse,9070,8951,7570,8226,9821,10724,Lakelse
SkeenaWild,LTAvg,Smsy,Kitwanga,7647,5954,2398,3418,10546,15935,Kitwanga
SkeenaWild,LTAvg,Smsy,Bear,4532,4490,3925,4169,4856,5190,Bear
SkeenaWild,LTAvg,Smsy,Johnston,2982,2974,2460,2743,3240,3498,Johnston
SkeenaWild,LTAvg,Smsy,Mcdonell,2198,2185,1962,2057,2314,2462,Mcdonell
SkeenaWild,LTAvg,Smsy,Asitka,1117,838,546,658,1265,2132,Asitka
SkeenaWild,LTAvg,Smsy,Sustut,785,767,659,708,848,936,Sustut
SkeenaWild,LTAvg,Smsy,Motase,562,508,382,433,645,814,Motase
SkeenaWild,LTAvg,Smsy,Slamg,269,266,230,246,291,312,Slamgeesh
SkeenaWild,LTAvg,Smsy,Ecstall,NA,NA,NA,NA,NA,NA,Ecstall
SkeenaWild,LTAvg,Smsy,Kluant,NA,NA,NA,NA,NA,NA,Kluantantan
SkeenaWild,LTAvg,Smsy,Kluayaz,NA,NA,NA,NA,NA,NA,Kluayaz
SkeenaWild,LTAvg,Smsy,Sicintine,NA,NA,NA,NA,NA,NA,Sicintine
SkeenaWild,LTAvg,Smsy,Skeena RT,NA,NA,NA,NA,NA,NA,Skeena River Type
SkeenaWild,LTAvg,Smsy,UBulkLk,NA,NA,NA,NA,NA,NA,Upper Bulkley Lakes
SkeenaWild,Now,Smsy,Agg Fit,169672,156986,55083,107697,214518,285050,NA
SkeenaWild,Now,Smsy,Sum,244017,234226,NA,NA,NA,NA,NA
SkeenaWild,Now,Smsy,Sum-Agg,74345,77240,NA,NA,NA,NA,NA
SkeenaWild,Now,Smsy,Bab-LW,129426,123391,64424,93047,156597,201520,Babine Late Wild
SkeenaWild,Now,Smsy,Bab-EW,22555,21593,8437,14548,29066,36075,Babine Early Wild
SkeenaWild,Now,Smsy,Bab-MW,16258,15927,12051,13929,18235,21076,Babine Mid Wild
SkeenaWild,Now,Smsy,Kitsumk,14319,14205,12898,13535,15032,15880,Kitsumkalum
SkeenaWild,Now,Smsy,Alastair,12560,13092,7229,10653,15012,16934,Alastair
SkeenaWild,Now,Smsy,SwanSteph,11156,10459,4591,7277,14090,18763,Swan/Stephens
SkeenaWild,Now,Smsy,Morice,10595,10429,8399,9391,11598,12946,Morice
SkeenaWild,Now,Smsy,Lakelse,8870,9040,4558,6601,11261,12806,Lakelse
SkeenaWild,Now,Smsy,Bear,4623,4585,4044,4289,4895,5268,Bear
SkeenaWild,Now,Smsy,Kitwanga,5590,3775,959,2320,6825,12881,Kitwanga
SkeenaWild,Now,Smsy,Johnston,3176,3169,2606,2872,3485,3820,Johnston
SkeenaWild,Now,Smsy,Mcdonell,2192,2177,1960,2052,2303,2442,Mcdonell
SkeenaWild,Now,Smsy,Asitka,1090,844,540,656,1228,2045,Asitka
SkeenaWild,Now,Smsy,Sustut,782,766,659,704,846,928,Sustut
SkeenaWild,Now,Smsy,Motase,563,517,385,441,638,804,Motase
SkeenaWild,Now,Smsy,Slamg,262,257,223,237,281,308,Slamgeesh
SkeenaWild,Now,Smsy,Ecstall,NA,NA,NA,NA,NA,NA,Ecstall
SkeenaWild,Now,Smsy,Kluant,NA,NA,NA,NA,NA,NA,Kluantantan
SkeenaWild,Now,Smsy,Kluayaz,NA,NA,NA,NA,NA,NA,Kluayaz
SkeenaWild,Now,Smsy,Sicintine,NA,NA,NA,NA,NA,NA,Sicintine
SkeenaWild,Now,Smsy,Skeena RT,NA,NA,NA,NA,NA,NA,Skeena River Type
SkeenaWild,Now,Smsy,UBulkLk,NA,NA,NA,NA,NA,NA,Upper Bulkley Lakes
SkeenaWild,LTAvg,Smsy.c,Agg Fit,486977,399054,273104,314316,561691,875814,NA
SkeenaWild,LTAvg,Smsy.c,Sum,518661,500110,NA,NA,NA,NA,NA
SkeenaWild,LTAvg,Smsy.c,Sum-Agg,31684,101056,NA,NA,NA,NA,NA
SkeenaWild,LTAvg,Smsy.c,Bab-LW,322689,315497,218996,257198,381938,445147,Babine Late Wild
