Prod,Aggregate,U,NumSamples,NumNA,NumStksOverfished_p10,NumStksOverfished_p25,NumStksOverfished_Med,NumStksOverfished_p75,NumStksOverfished_p90,NumStksExtirpated_p10,NumStksExtirpated_p25,NumStksExtirpated_Med,NumStksExtirpated_p75,NumStksExtirpated_p90,NumStksBelowSgen_p10,NumStksBelowSgen_p25,NumStksBelowSgen_Med,NumStksBelowSgen_p75,NumStksBelowSgen_p90,EqSpn_p10,EqSpn_p25,EqSpn_Med,EqSpn_p75,EqSpn_p90,EqCt_p10,EqCt_p25,EqCt_Med,EqCt_p75,EqCt_p90,NumStksOverfishedv2p20,NumStksExtirpatedv2p20,NumStksBelowSgenv2p20,NumStksOverfishedv2p40,NumStksExtirpatedv2p40,NumStksBelowSgenv2p40
LTAvg,Nass,0.3,2000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,346110.8721,380430.6465,421466.2068,468297.5945,511156.1758,148333.2309,163041.7056,180628.3744,200698.9691,219066.9325,0,0,0,0,0,0
LTAvg,Nass,0.31,2000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,341527.2244,375369.6198,416192.6645,461976.2685,505229.7145,153439.7675,168644.3219,186985.1101,207554.5554,226987.2631,0,0,0,0,0,0
LTAvg,Nass,0.32,2000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,336981.3028,370318.0098,410899.1931,456129.5867,498581.3464,158579.4366,174267.2987,193364.3262,214649.2173,234626.516,0,0,0,0,0,0
LTAvg,Nass,0.33,2000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,332586.0366,365171.4093,405404.2734,450067.0695,492217.0297,163811.033,179860.5449,199676.7317,221674.8253,242435.2535,0,0,0,0,0,0
LTAvg,Nass,0.34,2000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,327700.105,360442.6763,400198.179,443853.0889,485749.2868,168815.2056,185682.5908,206162.6983,228651.5913,250234.4811,0,0,0,0,0,0
LTAvg,Nass,0.35,2000,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,323305.8209,355528.7737,394391.2577,437795.0479,479166.2001,174087.7497,191438.5705,212364.5234,235735.795,258012.5693,0,0,0,0,0,0
LTAvg,Nass,0.36,2000,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,318113.4866,350624.1949,388713.2733,430734.9294,472496.9367,178938.8362,197226.1096,218651.2162,242288.3978,265779.5269,0,0,0,0,0,0
LTAvg,Nass,0.37,2000,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,313454.9693,345055.2809,382982.2621,424531.4453,465364.159,184092.601,202651.5142,224926.0905,249327.9917,273309.1093,0,0,0,0,0,0
LTAvg,Nass,0.38,2000,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,308862.6457,340008.3808,376721.2287,418027.0568,458479.475,189302.9119,208392.2334,230893.6563,256210.1316,281003.5492,0,0,0,0,0,0
LTAvg,Nass,0.39,2000,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,304320.4435,334666.8577,370953.911,411524.1982,451427.52,194565.5294,213967.3353,237167.2545,263105.6349,288617.5948,0,0,0,0,0,0
LTAvg,Nass,0.4,2000,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,299047.1312,329410.4519,365095.3482,405129.2778,444220.2621,199364.7541,219606.9679,243396.8988,270086.1852,296146.8414,0,0,0,0,0,0
LTAvg,Nass,0.41,2000,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,293921.6181,324146.581,359269.8333,398221.6142,437024.4354,204250.6159,225254.4037,249662.0875,276730.2743,303694.9466,1,0,0,0,0,0
LTAvg,Nass,0.42,2000,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,288846.4906,318203.3072,352862.8186,390722.88,429896.1837,209164.7001,230423.0845,255521.3514,282937.258,311304.133,1,0,0,0,0,0
LTAvg,Nass,0.43,2000,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,283306.2186,312302.4699,346977.8803,383623.0282,422534.284,213722.2351,235596.6001,261755.243,289399.8283,318753.9335,1,0,0,0,0,0
LTAvg,Nass,0.44,2000,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,277870.3758,306262.1561,340703.4091,376799.1398,414608.9844,218326.7238,240634.5512,267695.5357,296056.467,325764.202,1,0,0,0,0,0
